x,y,z
3.69,3.41,2.63
1.48,2.74,3.72
2.29,1.94,3.85
2.44,2.47,3.46
3.42,3.46,1.85
4.22,3.05,2.63
2.11,2.70,2.72
1.58,2.34,3.17
3.34,3.80,2.78
3.48,3.76,1.48
2.34,2.47,3.88
2.68,2.99,2.83
4.22,3.13,3.67
2.36,3.39,2.87
2.88,2.54,3.05
3.72,3.60,2.41
3.37,3.37,2.80
1.54,2.16,3.56
1.70,3.18,2.32
4.46,4.08,1.77
1.77,3.35,2.74
3.81,3.31,2.50
3.34,3.00,2.84
2.54,3.85,2.59
3.10,2.24,4.25
3.46,3.98,2.67
2.25,3.08,3.20
4.79,4.23,1.79
2.31,2.44,3.07
3.12,3.26,3.17
2.89,3.01,3.91
2.82,3.15,2.54
3.53,2.95,2.79
2.19,2.36,4.08
3.29,2.98,3.38
2.96,3.71,3.02
2.59,2.12,3.48
3.46,3.46,2.01
3.52,3.46,2.99
3.68,3.60,2.51
3.49,3.29,2.80
2.03,3.64,2.33
1.60,2.27,3.34
2.84,3.04,3.17
2.13,2.42,3.64
3.16,3.25,3.05
2.47,2.58,2.84
2.93,3.12,3.07
3.34,3.09,3.48
4.68,3.99,1.90
2.57,2.79,3.42
3.48,3.49,1.93
2.21,3.20,2.72
2.25,2.55,4.00
3.58,2.83,1.40
1.88,2.15,4.04
3.71,3.19,3.21
2.16,2.46,3.30
2.88,2.96,2.29
4.57,4.02,1.59
4.50,4.38,2.24
3.35,3.52,2.77
3.72,3.26,3.13
2.35,3.33,2.89
2.94,2.85,3.54
4.16,3.09,3.07
2.86,2.09,3.88
2.95,3.14,3.39
4.55,3.90,1.56
3.34,2.83,3.20
2.78,2.91,3.48
0.90,2.16,3.29
2.67,3.23,3.18
2.71,3.19,3.52
2.64,2.81,3.13
3.02,2.24,3.32
2.57,3.44,2.70
3.74,3.63,2.13
1.74,2.81,3.14
2.75,2.81,2.20
2.90,3.12,2.95
2.08,2.33,3.39
4.38,4.10,2.77
4.22,3.83,2.56
3.76,2.99,2.63
3.10,2.46,3.26
2.41,2.66,4.01
3.10,3.34,2.32
4.04,3.17,3.43
3.91,2.91,4.18
2.15,2.15,3.79
4.14,3.99,2.17
1.88,2.15,3.45
3.29,3.21,2.86
2.48,2.70,2.53
1.20,1.93,5.03
2.90,3.35,2.91
2.47,2.82,3.91
3.71,3.84,2.86
3.90,3.20,3.22
1.86,1.89,3.68
2.51,2.94,3.10
2.67,3.71,2.79
3.05,3.65,3.23
4.29,3.65,2.64
2.28,2.83,3.74
3.10,3.01,3.09
3.93,2.53,3.69
2.45,2.76,3.74
4.10,3.44,2.76
1.81,2.26,3.35
3.95,3.03,3.29
2.21,2.80,3.39
3.25,3.11,2.47
2.07,3.28,3.76
3.46,2.89,2.99
1.44,1.96,4.01
1.20,2.99,3.27
2.66,2.53,3.39
3.22,2.59,2.63
2.88,3.46,2.93
3.07,3.10,3.28
1.81,3.15,3.11
2.33,2.77,2.77
1.92,2.39,3.84
2.55,1.99,3.99
0.82,2.14,4.31
2.80,3.33,2.62
2.76,3.02,2.37
3.02,2.85,2.46
1.89,2.79,3.56
3.35,2.85,2.76
2.76,3.32,2.19
3.45,2.86,3.19
4.88,3.98,1.71
2.22,2.13,2.89
3.06,2.67,3.19
1.92,2.60,3.74
4.06,3.70,2.73
3.59,4.00,1.40
1.58,2.75,3.80
3.38,2.60,3.49
4.50,3.95,2.13
2.78,3.29,2.55
3.12,2.90,2.98
3.95,2.62,2.87
3.47,3.21,2.52
1.87,2.55,3.12
3.15,3.21,2.88
2.48,2.85,3.16
1.89,2.69,4.04
1.95,3.00,3.79
3.78,2.16,3.36
3.12,2.51,3.35
2.23,2.36,3.54
3.22,3.18,2.39
1.81,2.71,2.61
3.25,3.89,1.82
3.38,4.04,2.72
2.61,2.99,3.11
3.84,3.31,2.71
3.68,2.73,3.32
2.51,3.35,2.90
3.76,2.88,3.18
2.83,2.74,3.04
2.76,2.05,4.51
3.98,3.31,3.01
3.31,2.93,2.67
2.47,2.21,2.82
3.15,3.35,2.97
3.22,2.39,2.73
2.27,2.09,4.19
1.91,1.91,4.74
3.60,2.22,3.62
1.01,2.19,4.26
3.42,3.00,3.23
2.03,1.95,3.53
3.21,3.51,3.14
2.06,2.33,3.54
2.04,2.48,3.55
3.64,3.72,2.01
2.72,3.57,3.13
2.07,2.63,3.53
2.90,3.24,2.70
2.79,2.35,2.91
2.44,2.89,2.97
3.31,2.70,3.85
1.45,2.22,4.49
1.40,2.01,3.04
2.09,2.38,3.81
2.76,3.52,2.08
2.91,2.68,2.78
3.26,2.97,2.72
2.52,2.54,3.52
1.34,2.59,3.54
3.74,2.49,2.89
3.82,3.94,2.78
3.12,2.36,2.94
3.42,3.61,1.86
3.16,2.90,2.78
3.81,3.44,2.14
2.80,2.68,3.89
2.92,2.79,3.95
3.38,2.99,2.63
3.95,3.46,2.35
2.57,3.67,2.63
4.23,2.78,2.44
2.91,3.33,3.26
2.53,1.46,4.48
1.87,2.73,3.60
2.99,3.52,2.06
3.58,2.95,2.29
3.27,3.04,3.46
2.33,2.49,2.13
3.90,2.75,3.16
2.25,3.08,3.46
3.03,2.51,2.66
1.43,2.84,3.10
3.38,2.94,2.76
1.59,2.23,3.27
3.43,3.33,3.21
5.18,3.03,3.48
3.79,3.18,2.90
2.61,2.72,3.43
2.57,2.60,3.58
2.78,2.95,3.30
4.92,4.11,1.67
4.42,3.60,1.92
3.35,3.42,3.25
2.59,3.04,1.99
3.08,3.08,2.42
4.20,3.77,1.42
3.33,3.67,3.35
2.56,2.93,2.92
1.53,2.23,3.17
4.69,3.69,2.87
2.53,3.12,2.51
3.51,3.08,3.10
3.99,3.18,3.08
1.42,2.56,3.37
3.77,3.28,2.58
3.41,3.18,2.96
4.66,3.76,2.40
2.65,2.75,3.43
2.91,2.55,3.90
5.11,4.21,2.10
3.23,3.39,3.05
3.50,3.40,3.08
3.89,3.14,2.93
1.90,2.70,3.39
3.24,3.31,1.90
3.80,3.49,2.42
1.83,2.75,3.18
3.71,3.00,2.28
1.90,2.39,4.06
3.51,2.66,2.81
3.48,2.84,2.55
2.12,1.67,4.29
2.66,3.03,3.02
1.86,2.69,3.43
3.66,3.23,3.14
2.95,2.96,2.40
2.96,2.95,2.89
2.66,2.98,3.20
2.48,2.97,3.62
2.27,2.75,3.48
2.74,2.94,2.90
2.61,2.49,3.37
1.29,1.62,3.60
1.76,2.67,3.37
2.64,2.33,3.02
2.38,2.23,4.04
3.23,3.38,2.63
3.10,2.95,4.31
3.37,3.23,2.54
2.11,2.65,2.89
2.73,3.09,3.15
2.93,2.76,3.20
-1.28,-2.65,-0.28
1.49,-0.13,2.20
6.25,0.49,1.51
2.47,4.03,0.35
1.72,3.93,3.33
4.05,1.16,3.19
4.12,-0.99,1.69
5.08,3.25,1.33
3.41,3.81,2.41
2.88,5.97,-0.01
0.99,-2.25,2.63
-0.30,0.45,3.27
0.18,5.87,0.77
5.05,6.81,5.59
3.86,4.36,2.35
3.14,2.40,5.07
3.89,5.71,4.80
0.94,2.51,2.42
4.07,0.70,0.89
3.21,0.86,5.23
3.06,6.67,3.68
-0.99,1.25,0.50
5.78,3.85,1.79
2.38,0.68,-2.14
-0.38,3.28,1.28
3.21,3.07,0.83
1.72,2.52,7.40
1.19,1.33,1.68
0.32,4.84,5.07
5.45,2.31,4.62
4.80,-0.01,1.88
5.10,3.49,1.81
2.88,1.77,2.55
4.02,2.22,4.41
2.48,3.06,3.30
4.65,4.73,0.50
4.57,5.54,4.57
4.09,6.82,5.06
2.80,0.46,1.03
2.64,1.81,0.48
9.02,9.28,5.33
7.52,8.79,6.10
7.68,8.66,6.94
8.00,9.01,6.13
9.17,9.71,5.20
8.37,8.93,6.06
7.56,9.22,5.46
7.62,9.45,5.66
8.05,8.35,7.17
8.42,8.69,6.65
8.26,9.23,5.50
8.33,9.52,5.62
7.82,9.48,5.20
7.49,8.56,7.13
7.93,8.82,6.40
7.50,8.80,6.60
7.83,8.86,5.96
6.24,8.66,6.82
8.43,8.16,7.32
9.20,9.83,5.17
7.55,9.03,6.05
8.83,9.33,5.32
8.97,10.10,4.15
6.98,8.56,6.08
7.26,8.78,5.78
9.02,9.68,4.48
8.16,8.08,7.88
9.05,9.06,5.80
7.06,9.15,6.30
8.85,9.35,5.44
8.45,8.60,6.60
7.91,9.23,5.73
7.91,8.61,6.52
7.66,9.17,5.48
7.26,8.99,5.91
8.35,8.94,6.02
9.06,9.96,4.03
8.52,9.64,4.85
8.15,8.89,6.02
7.89,9.31,5.53
7.21,8.77,6.24
7.87,9.05,6.26
8.00,8.77,6.63
8.08,9.00,5.49
7.95,9.20,5.50
7.28,8.98,5.75
7.29,8.94,5.91
8.50,8.81,6.21
7.42,8.93,5.90
9.21,9.48,4.68
8.70,10.40,3.84
8.56,8.71,6.93
6.84,9.37,5.22
8.47,9.96,4.10
7.15,8.70,6.69
8.75,9.44,5.21
9.16,9.02,5.74
8.48,9.04,5.97
8.15,9.42,4.98
7.23,8.21,7.05
6.60,8.76,6.37
9.29,8.91,5.83
8.74,9.10,6.03
8.02,9.42,5.26
7.63,8.24,7.65
7.13,8.45,6.87
7.21,8.16,7.21
7.74,8.24,7.55
8.78,9.05,5.99
8.45,9.59,4.95
8.45,8.22,8.01
7.89,8.52,7.25
7.40,9.19,5.84
7.45,9.09,5.78
8.58,9.64,5.05
7.60,10.10,4.19
8.13,8.75,6.19
7.31,8.94,6.45
9.04,8.89,6.42
8.13,9.30,5.56
8.11,8.91,6.27
6.86,9.13,5.76
7.38,8.56,6.47
7.23,8.64,6.71
8.36,8.59,6.49
8.83,8.96,5.86
7.92,9.23,5.84
8.03,8.46,6.69
8.17,9.26,5.22
7.80,8.06,6.92
7.63,9.09,5.94
6.99,8.33,7.26
8.16,8.97,6.11
8.84,9.97,4.18
8.18,8.61,6.93
8.19,8.91,6.13
8.69,9.51,5.47
7.74,8.68,5.99
7.59,8.87,6.49
8.30,9.63,4.82
8.00,9.20,5.92
8.68,9.93,3.87
7.68,9.92,4.14
7.43,8.38,6.67
8.16,9.14,5.43
7.79,9.56,4.44
7.28,9.11,5.42
7.88,9.06,6.11
8.06,8.84,6.59
8.07,8.43,7.19
6.95,8.32,6.61
7.91,9.32,5.58
7.79,8.72,6.38
7.28,8.63,6.33
8.19,8.91,6.12
8.84,8.50,6.77
8.09,8.91,5.96
8.97,9.70,4.69
8.75,9.07,6.38
7.98,9.35,5.02
8.69,7.81,8.05
7.18,8.12,7.05
8.25,8.90,5.45
7.45,9.35,5.26
