x,y,z,LABELS,IS OUTLIER
2.85,3.53,2.51,1,0
2.49,2.54,3.07,1,0
2.23,2.26,3.5,1,0
1.72,2.33,3.95,1,0
2.42,2.63,2.58,1,0
1.36,2.54,3.66,1,0
1.89,2.01,3.6,1,0
3.69,3.21,2.73,1,0
2.81,2.8,2.65,1,0
4.51,3.5,2.76,1,0
1.9,2.33,2.97,1,0
3.05,2.8,3.26,1,0
2.3,3.57,3.17,1,0
3.63,2.44,4.04,1,0
3.3,2.92,2.9,1,0
2.87,3.69,3.79,1,0
3.19,3.36,2.81,1,0
3.52,3.15,2.15,1,0
3.57,2.74,2.08,1,0
3.22,2.78,3.29,1,0
2.7,3.34,2.93,1,0
2.91,3.04,2.89,1,0
3.29,2.7,3.74,1,0
5.19,4.24,2.06,1,0
3.45,3.18,2.51,1,0
3.49,3.88,2.01,1,0
3.11,3.34,2.51,1,0
2.13,2.56,3.95,1,0
2.16,2.8,3.3,1,0
2.85,2.23,3.83,1,0
2.57,2.97,2.79,1,0
3.61,3.03,2.9,1,0
4.27,3.04,2.21,1,0
3.03,3.39,3.57,1,0
3.59,3.37,3.0,1,0
4.42,3.17,3.32,1,0
3.45,3.73,1.35,1,0
2.96,3.15,2.27,1,0
1.85,2.56,3.46,1,0
2.73,2.72,2.93,1,0
4.08,3.18,2.77,1,0
2.96,2.92,3.75,1,0
4.16,3.66,2.01,1,0
3.73,3.37,1.53,1,0
2.65,2.56,3.68,1,0
5.3,3.73,2.3,1,0
2.34,2.86,3.4,1,0
4.08,3.77,2.29,1,0
4.44,3.39,2.08,1,0
2.3,2.53,4.59,1,0
2.68,2.97,3.27,1,0
3.5,2.65,3.01,1,0
2.47,3.2,2.55,1,0
2.45,2.36,3.73,1,0
3.38,3.47,2.92,1,0
2.28,2.53,3.12,1,0
3.59,2.82,2.54,1,0
4.04,3.89,2.56,1,0
3.57,3.03,2.48,1,0
1.86,2.51,3.31,1,0
3.18,2.97,2.83,1,0
4.82,3.97,1.96,1,0
2.97,1.74,3.73,1,0
3.74,3.15,1.84,1,0
2.32,2.84,3.38,1,0
3.31,3.0,3.3,1,0
3.73,3.43,2.53,1,0
2.79,2.7,2.42,1,0
3.24,2.89,3.79,1,0
3.62,2.31,3.32,1,0
2.58,3.02,2.25,1,0
3.81,3.54,2.35,1,0
2.12,3.09,2.51,1,0
3.98,2.95,3.49,1,0
2.84,3.24,2.51,1,0
2.55,2.98,3.53,1,0
2.55,2.33,3.22,1,0
2.48,2.11,3.88,1,0
2.71,3.36,2.77,1,0
3.81,3.27,2.97,1,0
3.08,2.67,3.02,1,0
1.53,2.36,3.6,1,0
1.34,2.2,2.71,1,0
1.15,2.7,3.24,1,0
2.37,2.83,3.42,1,0
3.67,2.81,3.25,1,0
3.26,2.76,3.84,1,0
1.6,2.64,4.13,1,0
2.97,2.63,3.65,1,0
2.96,3.18,2.87,1,0
3.7,3.85,2.1,1,0
4.1,3.71,2.74,1,0
1.89,2.75,4.08,1,0
2.44,3.17,3.15,1,0
2.28,3.16,3.53,1,0
3.38,3.67,2.35,1,0
4.67,3.4,3.33,1,0
2.61,2.96,2.59,1,0
2.42,2.89,3.4,1,0
2.92,2.31,2.99,1,0
2.98,3.19,3.2,1,0
3.49,2.77,2.42,1,0
3.02,3.04,2.37,1,0
2.34,2.24,4.17,1,0
1.7,2.26,3.15,1,0
2.83,2.81,2.01,1,0
2.18,3.26,2.6,1,0
2.16,2.5,4.47,1,0
3.64,3.06,2.24,1,0
2.78,3.04,3.36,1,0
3.27,4.3,2.16,1,0
2.13,3.28,2.94,1,0
4.03,2.64,3.53,1,0
3.13,3.43,2.82,1,0
2.72,3.6,2.58,1,0
4.25,3.62,2.64,1,0
3.65,2.89,3.4,1,0
2.33,2.48,2.33,1,0
3.58,2.65,3.34,1,0
3.79,3.44,2.5,1,0
3.06,2.42,2.97,1,0
2.83,3.15,3.15,1,0
2.99,3.21,2.98,1,0
2.55,2.36,4.05,1,0
1.95,2.62,3.41,1,0
2.77,2.64,3.92,1,0
4.01,3.19,2.29,1,0
3.52,3.7,2.42,1,0
2.32,2.84,3.99,1,0
2.47,2.47,3.17,1,0
1.92,2.79,3.42,1,0
2.0,2.64,3.02,1,0
3.69,3.01,3.13,1,0
3.88,3.2,2.78,1,0
4.28,3.21,2.78,1,0
4.0,3.2,3.03,1,0
3.63,2.83,2.73,1,0
3.18,3.09,2.53,1,0
3.0,3.68,1.65,1,0
0.97,2.77,3.54,1,0
4.76,3.5,2.56,1,0
2.76,2.79,2.63,1,0
4.3,3.05,3.09,1,0
3.3,3.29,1.36,1,0
5.55,3.82,2.1,1,0
1.83,2.38,3.15,1,0
2.08,2.47,3.87,1,0
1.39,2.44,3.79,1,0
3.11,3.24,2.36,1,0
4.31,3.85,3.05,1,0
4.14,2.91,1.79,1,0
2.17,2.22,2.98,1,0
3.9,3.6,2.43,1,0
3.27,3.38,2.98,1,0
1.75,3.09,2.72,1,0
2.56,3.66,2.5,1,0
3.12,2.93,3.77,1,0
3.39,2.89,2.79,1,0
3.86,2.6,3.05,1,0
2.28,2.78,3.07,1,0
3.15,2.88,3.58,1,0
2.67,2.68,3.37,1,0
3.73,2.54,2.88,1,0
2.12,2.15,4.38,1,0
3.4,3.64,2.89,1,0
4.69,2.97,2.35,1,0
3.92,3.13,2.65,1,0
2.42,2.9,3.77,1,0
3.3,2.57,2.76,1,0
3.2,3.33,2.83,1,0
2.92,3.06,2.46,1,0
2.84,2.82,3.46,1,0
2.38,2.9,4.16,1,0
2.48,3.01,3.26,1,0
2.38,3.44,1.7,1,0
2.82,3.27,2.66,1,0
1.99,2.81,2.62,1,0
4.22,3.73,2.09,1,0
3.46,2.77,3.75,1,0
1.79,2.49,3.08,1,0
2.32,2.35,3.94,1,0
2.71,3.0,3.55,1,0
2.76,2.91,3.5,1,0
3.83,3.56,1.95,1,0
3.41,2.9,2.49,1,0
4.64,3.68,2.1,1,0
4.23,3.48,1.96,1,0
2.85,2.68,2.98,1,0
2.73,3.47,2.96,1,0
2.12,2.13,4.37,1,0
4.41,3.06,2.18,1,0
2.65,2.37,2.83,1,0
2.94,3.21,3.11,1,0
3.76,2.86,3.82,1,0
2.87,3.42,2.46,1,0
2.63,3.21,3.52,1,0
3.46,3.42,2.02,1,0
3.07,3.35,2.15,1,0
4.43,3.53,2.03,1,0
3.26,2.58,3.08,1,0
3.14,2.76,2.87,1,0
3.76,3.54,2.58,1,0
2.73,3.19,3.12,1,0
2.87,2.78,3.01,1,0
3.12,2.49,3.08,1,0
3.97,3.55,2.85,1,0
2.56,2.68,1.99,1,0
3.57,3.07,2.67,1,0
2.2,2.31,3.01,1,0
3.59,2.96,2.84,1,0
3.24,2.65,3.65,1,0
3.86,4.01,2.57,1,0
3.09,3.38,2.87,1,0
3.31,2.89,3.08,1,0
3.02,3.48,2.04,1,0
4.89,3.55,1.81,1,0
4.41,3.52,2.51,1,0
3.1,3.31,2.51,1,0
3.03,2.93,2.64,1,0
3.31,3.25,2.4,1,0
3.39,3.37,2.95,1,0
3.26,2.32,3.54,1,0
3.06,3.28,3.25,1,0
2.6,3.41,3.23,1,0
1.29,2.03,3.66,1,0
3.52,3.64,2.14,1,0
1.89,2.36,3.72,1,0
2.24,2.55,3.4,1,0
4.39,3.04,2.85,1,0
3.73,3.29,2.47,1,0
2.65,2.97,3.35,1,0
1.5,2.57,3.64,1,0
2.11,2.09,3.74,1,0
2.16,2.49,3.69,1,0
2.14,3.11,2.72,1,0
0.52,2.16,4.4,1,0
3.87,3.34,3.1,1,0
2.24,2.5,2.22,1,0
2.74,2.83,2.75,1,0
2.51,2.7,2.87,1,0
3.42,2.88,3.15,1,0
2.56,2.99,2.48,1,0
3.51,3.43,3.1,1,0
4.19,4.01,1.61,1,0
1.24,2.7,4.08,1,0
2.52,3.64,1.76,1,0
2.37,2.22,4.1,1,0
4.09,4.15,1.78,1,0
2.63,2.99,2.41,1,0
2.12,2.33,3.56,1,0
2.01,2.77,2.88,1,0
2.4,2.53,2.72,1,0
2.03,2.26,3.71,1,0
4.11,3.4,2.07,1,0
1.18,2.28,2.99,1,0
3.27,2.61,3.55,1,0
1.83,1.81,3.71,1,0
2.99,3.22,2.2,1,0
1.88,3.05,2.34,1,0
3.65,3.98,2.42,1,0
2.48,2.85,4.01,1,0
2.93,3.03,2.72,1,0
2.73,2.61,3.52,1,0
2.74,2.72,4.28,1,0
3.76,3.44,2.67,1,0
4.44,3.42,2.07,1,0
3.89,3.28,2.61,1,0
4.72,3.59,2.43,1,0
3.66,2.7,2.97,1,0
3.78,3.02,3.16,1,0
3.15,3.6,2.98,1,0
2.21,3.1,2.96,1,0
3.86,3.62,3.02,1,0
1.98,3.03,2.48,1,0
2.99,3.22,2.56,1,0
4.07,3.74,2.81,1,0
3.09,2.94,2.93,1,0
2.81,2.38,4.38,1,0
2.6,2.57,3.13,1,0
2.66,1.75,4.01,1,0
3.35,3.13,2.52,1,0
2.05,2.63,3.4,1,0
2.27,2.55,4.24,1,0
3.68,3.58,2.26,1,0
1.25,2.11,3.02,1,0
4.45,3.28,3.72,1,0
3.67,2.9,3.55,1,0
3.33,2.72,3.27,1,0
2.35,2.3,3.64,1,0
2.07,2.5,2.68,1,0
2.91,3.06,3.02,1,0
4.1,3.69,2.59,1,0
1.85,2.73,3.18,1,0
3.63,3.33,3.13,1,0
1.77,2.83,2.81,1,0
3.63,3.34,2.68,1,0
2.96,2.81,3.11,1,0
3.55,3.23,3.96,1,0
4.77,3.52,2.06,1,0
2.73,2.91,3.38,1,0
3.68,4.11,1.97,1,0
2.79,3.05,3.36,1,0
2.59,3.15,3.2,1,0
3.25,3.18,2.73,1,0
1.67,2.31,3.32,1,0
3.15,2.81,3.44,1,0
3.21,3.09,3.73,1,0
3.82,3.54,2.81,1,0
4.29,2.82,3.63,1,0
1.09,1.43,3.73,1,0
3.6,3.23,2.94,1,0
2.67,3.61,2.91,1,0
2.94,3.45,2.59,1,0
2.11,3.28,3.22,1,0
3.67,4.08,1.7,1,0
3.09,2.71,2.53,1,0
3.41,3.41,2.07,1,0
1.29,2.25,3.86,1,0
2.49,2.45,3.28,1,0
3.49,3.26,2.77,1,0
2.87,2.66,2.74,1,0
2.59,3.22,2.65,1,0
2.53,2.96,3.74,1,0
3.23,2.42,3.5,1,0
1.51,2.59,3.34,1,0
4.06,3.51,2.91,1,0
2.78,2.92,3.01,1,0
4.45,3.5,2.56,1,0
4.21,3.06,2.95,1,0
3.36,2.98,3.11,1,0
3.21,3.13,2.34,1,0
2.81,3.23,2.68,1,0
2.04,2.06,3.33,1,0
2.71,1.99,3.61,1,0
2.4,3.61,2.93,1,0
2.8,2.85,2.82,1,0
3.34,2.9,3.3,1,0
4.2,3.63,2.16,1,0
2.93,2.77,2.74,1,0
3.61,3.46,3.55,1,0
2.73,3.06,3.4,1,0
3.01,3.0,2.69,1,0
4.38,3.09,3.95,1,0
2.84,2.95,3.54,1,0
3.09,2.3,3.81,1,0
1.66,2.8,3.79,1,0
2.33,2.74,3.49,1,0
2.31,3.06,3.26,1,0
2.84,2.77,3.42,1,0
1.91,2.74,3.39,1,0
3.6,3.11,2.03,1,0
2.71,3.48,2.85,1,0
3.76,2.89,2.11,1,0
2.44,2.74,2.14,1,0
2.39,2.73,3.29,1,0
3.19,2.61,3.27,1,0
4.32,3.64,2.43,1,0
2.0,2.61,3.9,1,0
2.35,3.0,3.25,1,0
1.98,2.38,4.06,1,0
3.3,3.37,2.9,1,0
4.27,3.82,2.56,1,0
2.9,3.02,3.5,1,0
3.77,3.73,2.46,1,0
3.22,3.06,3.65,1,0
3.27,3.49,2.6,1,0
3.1,3.09,3.34,1,0
2.1,2.61,3.46,1,0
4.11,3.34,2.88,1,0
1.37,2.52,3.21,1,0
3.87,3.51,2.27,1,0
3.45,3.63,3.57,1,0
1.66,3.07,3.98,1,0
2.28,2.62,2.94,1,0
2.9,3.5,2.48,1,0
2.64,2.86,2.75,1,0
2.47,2.42,3.83,1,0
3.14,2.99,3.6,1,0
2.62,2.84,3.64,1,0
2.95,3.05,3.78,1,0
3.35,2.49,2.96,1,0
2.48,2.28,2.93,1,0
4.09,3.67,3.03,1,0
1.4,2.22,3.64,1,0
2.71,3.01,3.29,1,0
2.26,3.12,3.51,1,0
2.97,2.84,3.01,1,0
3.0,2.53,3.6,1,0
3.69,3.37,2.49,1,0
2.57,3.06,2.41,1,0
2.31,3.14,3.5,1,0
4.01,2.79,3.25,1,0
3.79,2.42,3.76,1,0
3.77,4.0,1.52,1,0
3.7,3.16,3.01,1,0
3.65,3.03,2.82,1,0
3.83,2.96,3.44,1,0
2.99,3.28,3.48,1,0
2.83,3.22,2.35,1,0
2.73,3.22,3.6,1,0
1.99,2.72,2.69,1,0
3.62,3.79,2.75,1,0
3.84,3.54,2.38,1,0
3.9,3.32,3.82,1,0
2.76,2.93,3.42,1,0
4.47,4.1,2.69,1,0
2.96,2.75,3.33,1,0
2.73,3.09,3.07,1,0
3.31,3.64,2.47,1,0
3.57,3.53,2.58,1,0
4.13,3.06,2.35,1,0
3.38,2.66,3.34,1,0
3.37,3.79,2.4,1,0
2.21,2.33,2.97,1,0
3.72,2.66,1.56,1,0
2.83,2.71,2.89,1,0
2.03,2.48,4.31,1,0
3.52,2.94,2.62,1,0
3.68,3.93,2.16,1,0
3.93,3.29,2.9,1,0
3.14,3.53,2.25,1,0
2.62,2.88,3.18,1,0
1.75,1.81,3.45,1,0
3.64,3.13,2.43,1,0
2.41,2.69,2.73,1,0
3.07,3.45,2.28,1,0
2.8,2.99,3.2,1,0
2.48,2.44,4.23,1,0
3.3,3.1,1.96,1,0
3.62,2.98,4.17,1,0
2.48,2.68,3.65,1,0
3.55,3.99,2.07,1,0
1.82,2.91,2.73,1,0
4.03,3.27,2.46,1,0
1.36,3.49,2.55,1,0
1.68,3.14,4.06,1,0
3.51,2.86,2.52,1,0
5.06,4.15,2.01,1,0
3.43,3.12,2.79,1,0
3.02,3.28,2.61,1,0
2.69,3.08,2.96,1,0
3.09,3.01,2.11,1,0
3.43,2.98,3.54,1,0
2.27,2.78,2.98,1,0
3.03,2.7,3.38,1,0
2.61,2.12,3.47,1,0
3.85,3.06,3.49,1,0
2.81,2.75,3.31,1,0
3.21,3.13,2.51,1,0
2.21,3.0,2.9,1,0
3.73,3.54,3.06,1,0
4.35,3.21,2.97,1,0
3.29,3.65,1.73,1,0
5.14,3.71,1.84,1,0
4.72,3.84,2.56,1,0
2.59,3.13,2.86,1,0
2.0,2.49,3.63,1,0
2.93,3.14,3.25,1,0
2.55,3.12,2.51,1,0
2.76,3.24,3.05,1,0
2.35,2.88,3.56,1,0
2.35,3.15,3.5,1,0
2.69,2.81,3.16,1,0
2.95,2.58,3.19,1,0
2.51,2.32,3.1,1,0
4.01,3.14,2.93,1,0
1.41,2.54,3.45,1,0
4.81,3.81,2.47,1,0
2.61,2.25,3.33,1,0
2.86,3.38,3.14,1,0
2.82,2.08,3.31,1,0
3.09,3.22,2.84,1,0
3.72,3.65,3.73,1,0
2.19,2.77,3.08,1,0
1.52,2.78,3.55,1,0
3.23,2.97,3.3,1,0
2.97,2.92,2.69,1,0
3.86,2.93,3.31,1,0
4.31,3.44,2.47,1,0
1.94,2.9,3.53,1,0
2.06,2.21,3.02,1,0
2.02,2.74,2.35,1,0
4.35,4.26,1.66,1,0
2.11,2.99,2.96,1,0
2.74,3.35,2.62,1,0
2.34,2.21,3.47,1,0
2.61,3.56,1.71,1,0
3.58,3.18,1.79,1,0
3.98,3.39,2.45,1,0
3.64,3.44,3.29,1,0
2.46,2.96,2.93,1,0
3.53,3.01,2.63,1,0
2.66,2.76,3.24,1,0
2.09,1.86,4.63,1,0
4.1,2.95,3.11,1,0
3.01,3.62,2.64,1,0
2.47,2.93,3.06,1,0
2.45,2.24,3.12,1,0
1.11,2.94,3.22,1,0
1.93,2.3,3.43,1,0
4.94,3.17,3.48,1,1
2.63,2.93,2.85,1,0
2.43,2.67,2.4,1,0
2.45,3.53,2.31,1,0
3.59,3.86,2.86,1,0
3.56,2.62,3.58,1,0
3.03,3.08,3.7,1,0
2.6,2.78,3.61,1,0
3.53,3.18,2.49,1,0
1.92,3.0,2.9,1,0
3.24,3.09,1.84,1,0
3.02,2.81,3.11,1,0
3.37,2.99,2.99,1,0
3.06,3.11,1.88,1,0
3.49,3.2,2.89,1,0
3.34,3.05,2.89,1,0
4.36,3.57,1.73,1,0
4.49,3.44,2.43,1,0
3.84,2.74,3.19,1,0
3.78,3.2,3.42,1,0
2.76,2.99,3.64,1,0
2.34,2.85,3.5,1,0
2.64,3.2,3.22,1,0
3.09,3.41,3.02,1,0
3.4,2.97,2.54,1,0
4.31,3.07,2.74,1,0
2.23,2.87,2.54,1,0
1.93,3.78,2.85,1,0
1.65,2.93,3.31,1,0
3.09,3.22,2.96,1,0
3.18,3.93,2.36,1,0
3.27,3.36,2.45,1,0
1.36,2.19,3.53,1,0
2.19,2.47,3.45,1,0
2.3,2.49,3.96,1,0
3.49,3.32,3.1,1,0
3.03,2.92,2.95,1,0
4.7,3.42,2.88,1,0
1.92,2.22,4.2,1,0
2.28,2.81,2.71,1,0
2.82,3.52,1.05,1,0
2.93,2.88,2.83,1,0
2.8,3.28,3.0,1,0
2.8,3.85,3.59,1,0
4.17,3.9,1.04,1,0
3.13,3.16,3.92,1,0
2.92,3.57,2.25,1,0
2.61,2.97,3.21,1,0
3.94,3.48,1.79,1,0
2.36,3.05,2.87,1,0
2.68,1.95,3.94,1,0
4.04,3.83,2.75,1,0
2.82,3.03,3.57,1,0
2.92,3.18,3.13,1,0
2.43,2.59,3.47,1,0
2.38,3.1,2.98,1,0
2.0,2.62,3.65,1,0
3.21,2.69,4.15,1,0
3.22,2.06,3.48,1,0
3.44,3.35,2.8,1,0
3.13,3.31,3.7,1,0
3.24,3.08,2.74,1,0
3.93,3.07,2.57,1,0
2.08,2.6,3.86,1,0
3.06,2.77,2.97,1,0
4.14,3.56,2.93,1,0
1.99,2.07,3.48,1,0
3.49,3.13,2.84,1,0
4.72,3.81,2.19,1,0
4.14,3.03,2.72,1,0
2.72,3.12,2.88,1,0
2.96,2.68,3.74,1,0
2.86,3.59,2.89,1,0
3.98,2.67,3.61,1,0
2.24,2.27,2.79,1,0
3.95,3.87,1.78,1,0
3.87,3.29,2.93,1,0
3.12,3.03,3.48,1,0
2.59,3.26,2.61,1,0
2.11,2.23,4.8,1,0
4.25,3.87,2.26,1,0
2.74,2.44,4.15,1,0
4.2,3.88,2.24,1,0
2.01,2.62,4.45,1,0
3.34,3.13,2.35,1,0
2.68,2.86,2.47,1,0
3.72,3.11,2.8,1,0
2.75,3.32,3.2,1,0
2.47,2.9,3.69,1,0
2.85,3.21,1.82,1,0
3.32,3.58,1.56,1,0
3.93,4.37,2.45,1,0
2.1,3.45,3.53,1,0
1.25,2.11,3.17,1,0
2.52,3.61,3.03,1,0
4.67,3.81,2.62,1,0
3.26,3.4,2.62,1,0
3.07,2.73,2.91,1,0
3.09,3.2,2.9,1,0
2.16,2.57,2.83,1,0
1.86,3.09,2.92,1,0
3.0,3.62,2.25,1,0
2.89,3.08,2.86,1,0
4.94,4.39,2.2,1,0
3.69,3.02,2.76,1,0
4.63,3.25,2.44,1,0
4.47,3.31,2.86,1,0
2.19,2.55,2.75,1,0
3.2,3.14,2.75,1,0
2.48,2.94,2.96,1,0
4.4,3.83,2.3,1,0
2.51,2.69,3.98,1,0
2.59,3.13,2.15,1,0
2.29,2.24,3.52,1,0
2.44,2.35,4.22,1,0
3.37,2.98,3.84,1,0
3.42,3.17,2.5,1,0
3.45,2.57,3.91,1,0
2.79,3.19,3.83,1,0
4.35,3.43,1.85,1,0
3.99,3.35,3.11,1,0
2.31,2.29,3.58,1,0
3.01,3.22,2.15,1,0
2.66,3.02,3.15,1,0
3.04,2.9,3.3,1,0
3.96,3.88,2.22,1,0
1.14,1.91,4.15,1,0
3.66,2.8,3.08,1,0
4.25,3.8,1.61,1,0
2.0,2.7,2.84,1,0
3.61,3.41,2.76,1,0
2.9,2.4,3.59,1,0
3.69,3.41,2.63,1,0
1.48,2.74,3.72,1,0
2.29,1.94,3.85,1,0
2.44,2.47,3.46,1,0
3.42,3.46,1.85,1,0
4.22,3.05,2.63,1,0
2.11,2.7,2.72,1,0
1.58,2.34,3.17,1,0
3.34,3.8,2.78,1,0
3.48,3.76,1.48,1,0
2.34,2.47,3.88,1,0
2.68,2.99,2.83,1,0
4.22,3.13,3.67,1,0
2.36,3.39,2.87,1,0
2.88,2.54,3.05,1,0
3.72,3.6,2.41,1,0
3.37,3.37,2.8,1,0
1.54,2.16,3.56,1,0
1.7,3.18,2.32,1,0
4.46,4.08,1.77,1,0
1.77,3.35,2.74,1,0
3.81,3.31,2.5,1,0
3.34,3.0,2.84,1,0
2.54,3.85,2.59,1,0
3.1,2.24,4.25,1,0
3.46,3.98,2.67,1,0
2.25,3.08,3.2,1,0
4.79,4.23,1.79,1,0
2.31,2.44,3.07,1,0
3.12,3.26,3.17,1,0
2.89,3.01,3.91,1,0
2.82,3.15,2.54,1,0
3.53,2.95,2.79,1,0
2.19,2.36,4.08,1,0
3.29,2.98,3.38,1,0
2.96,3.71,3.02,1,0
2.59,2.12,3.48,1,0
3.46,3.46,2.01,1,0
3.52,3.46,2.99,1,0
3.68,3.6,2.51,1,0
3.49,3.29,2.8,1,0
2.03,3.64,2.33,1,0
1.6,2.27,3.34,1,0
2.84,3.04,3.17,1,0
2.13,2.42,3.64,1,0
3.16,3.25,3.05,1,0
2.47,2.58,2.84,1,0
2.93,3.12,3.07,1,0
3.34,3.09,3.48,1,0
4.68,3.99,1.9,1,0
2.57,2.79,3.42,1,0
3.48,3.49,1.93,1,0
2.21,3.2,2.72,1,0
2.25,2.55,4.0,1,0
3.58,2.83,1.4,1,0
1.88,2.15,4.04,1,0
3.71,3.19,3.21,1,0
2.16,2.46,3.3,1,0
2.88,2.96,2.29,1,0
4.57,4.02,1.59,1,0
4.5,4.38,2.24,1,0
3.35,3.52,2.77,1,0
3.72,3.26,3.13,1,0
2.35,3.33,2.89,1,0
2.94,2.85,3.54,1,0
4.16,3.09,3.07,1,0
2.86,2.09,3.88,1,0
2.95,3.14,3.39,1,0
4.55,3.9,1.56,1,0
3.34,2.83,3.2,1,0
2.78,2.91,3.48,1,0
0.9,2.16,3.29,1,0
2.67,3.23,3.18,1,0
2.71,3.19,3.52,1,0
2.64,2.81,3.13,1,0
3.02,2.24,3.32,1,0
2.57,3.44,2.7,1,0
3.74,3.63,2.13,1,0
1.74,2.81,3.14,1,0
2.75,2.81,2.2,1,0
2.9,3.12,2.95,1,0
2.08,2.33,3.39,1,0
4.38,4.1,2.77,1,0
4.22,3.83,2.56,1,0
3.76,2.99,2.63,1,0
3.1,2.46,3.26,1,0
2.41,2.66,4.01,1,0
3.1,3.34,2.32,1,0
4.04,3.17,3.43,1,0
3.91,2.91,4.18,1,0
2.15,2.15,3.79,1,0
4.14,3.99,2.17,1,0
1.88,2.15,3.45,1,0
3.29,3.21,2.86,1,0
2.48,2.7,2.53,1,0
1.2,1.93,5.03,1,0
2.9,3.35,2.91,1,0
2.47,2.82,3.91,1,0
3.71,3.84,2.86,1,0
3.9,3.2,3.22,1,0
1.86,1.89,3.68,1,0
2.51,2.94,3.1,1,0
2.67,3.71,2.79,1,0
3.05,3.65,3.23,1,0
4.29,3.65,2.64,1,0
2.28,2.83,3.74,1,0
3.1,3.01,3.09,1,0
3.93,2.53,3.69,1,0
2.45,2.76,3.74,1,0
4.1,3.44,2.76,1,0
1.81,2.26,3.35,1,0
3.95,3.03,3.29,1,0
2.21,2.8,3.39,1,0
3.25,3.11,2.47,1,0
2.07,3.28,3.76,1,0
3.46,2.89,2.99,1,0
1.44,1.96,4.01,1,0
1.2,2.99,3.27,1,0
2.66,2.53,3.39,1,0
3.22,2.59,2.63,1,0
2.88,3.46,2.93,1,0
3.07,3.1,3.28,1,0
1.81,3.15,3.11,1,0
2.33,2.77,2.77,1,0
1.92,2.39,3.84,1,0
2.55,1.99,3.99,1,0
0.82,2.14,4.31,1,0
2.8,3.33,2.62,1,0
2.76,3.02,2.37,1,0
3.02,2.85,2.46,1,0
1.89,2.79,3.56,1,0
3.35,2.85,2.76,1,0
2.76,3.32,2.19,1,0
3.45,2.86,3.19,1,0
4.88,3.98,1.71,1,0
2.22,2.13,2.89,1,0
3.06,2.67,3.19,1,0
1.92,2.6,3.74,1,0
4.06,3.7,2.73,1,0
3.59,4.0,1.4,1,0
1.58,2.75,3.8,1,0
3.38,2.6,3.49,1,0
4.5,3.95,2.13,1,0
2.78,3.29,2.55,1,0
3.12,2.9,2.98,1,0
3.95,2.62,2.87,1,0
3.47,3.21,2.52,1,0
1.87,2.55,3.12,1,0
3.15,3.21,2.88,1,0
2.48,2.85,3.16,1,0
